Altura Maxima,K,#Execucao,Acc (Melhor),Altura (Melhor),Tempo Execucao
20,11,1,0.9037037037037037,20,13883.523880243301
20,11,2,0.8962962962962963,20,9068.111692667007
20,11,3,0.9111111111111111,20,5468.073999166489
20,11,4,0.8777777777777778,20,18688.02124428749
20,11,7,0.8888888888888888,20,47049.01473593712
20,11,5,0.8962962962962963,14,5828.537981748581
20,11,8,0.9037037037037037,19,12668.862437725067
20,11,6,0.8962962962962963,18,14252.127651929855
20,11,9,0.8925925925925926,20,8118.886059999466
20,11,10,0.8703703703703703,20,9080.178982973099
